lat,long
39.077268,-122.932322
37.374254,-122.015515
38.021173,-121.905904
39.163431,-121.561630
45.699440,-121.521734
40.767830,-111.944330
43.714720,-112.220497
40.766390,-111.902000
33.021575,-117.096228
32.815860,-117.088508
43.672310,-107.888392
42.451670,-123.307500
35.465309,-120.671582
37.770000,-122.259943
40.905313,-124.072511
41.857220,-106.551330
42.183890,-111.828270
37.523239,-122.264908
40.331134,-111.756940
37.457825,-121.921353
46.587780,-120.398676
36.950000,-118.999944
38.021254,-121.905844
34.088291,-117.525574
36.591175,-120.175070
40.733060,-111.989500
40.316390,-111.734170
34.860125,-116.853130
38.136356,-121.148775
37.323795,-119.633949
36.982806,-120.033804
-0.000466,-0.000623
38.013519,-121.816512
40.612780,-111.955560
33.807265,-117.984450
41.780190,-110.347560
32.702484,-117.182272
37.374336,-122.015575
46.172500,-123.843955
38.130000,-121.650000
40.627330,-111.503750
46.689973,-120.732008
34.145264,-116.185861
34.789501,-118.431381
40.716670,-112.028670
36.803995,-121.783737
35.010000,-118.990000
39.129494,-123.711717
39.174108,-111.029802
43.412080,-123.315360
35.009163,-118.292236
37.797722,-121.601648
39.163431,-121.561515
34.004371,-117.565067
40.707220,-111.933830
40.767708,-111.930666
38.843330,-111.994498
40.713750,-112.121246
41.454720,-112.035280
37.477187,-122.168104
36.826044,-119.681281
38.776570,-122.742733
0.000000,0.000090
36.718822,-119.765766
37.797722,-121.601533
45.559170,-122.408826
46.389390,-120.786995
41.295000,-110.522280
33.880401,-118.175286
40.559170,-112.274111
34.986313,-118.738787
33.050685,-117.285325
35.956388,-120.851268
40.688720,-111.860170
37.347700,-121.922190
39.941890,-111.900809
34.004371,-117.565285
-0.000402,0.000163
36.830000,-119.830056
38.798798,-121.220715
43.266940,-122.410280
37.752899,-121.350690
37.068998,-121.077022
33.196818,-117.381743
37.925960,-121.678546
37.226424,-121.977342
39.190857,-121.990506
41.531560,-120.181940
45.677578,-118.782004
39.072905,-121.399237
32.766092,-117.192529
32.637837,-117.016125
45.846390,-119.269440
38.245082,-122.041222
34.870000,-116.860000
44.550560,-123.265280
33.896244,-118.372715
33.512948,-117.665545
37.721862,-121.390858
37.130000,-121.559943
38.551630,-121.560323
38.901311,-121.088139
34.468711,-119.884239
40.712500,-111.813950
37.360896,-121.863955
37.385278,-121.140833
36.530868,-120.104386
42.198610,-121.413890
35.150446,-118.878703
33.093183,-117.073692
41.726670,-112.185280
46.042780,-118.669170
35.610000,-118.960000
45.962473,-122.335067
34.088145,-117.525582
36.185797,-120.104535
0.000213,0.000278
39.725068,-122.178873
37.536271,-122.322394
32.796957,-116.792258
38.369192,-120.796693
32.665044,-116.986748
43.439440,-112.161670
36.824388,-119.769337
36.967863,-120.202660
0.000093,0.000652
40.913330,-111.892500
-0.000737,-0.000071
43.985560,-123.010893
38.901317,-121.087610
33.211533,-117.334427
40.481389,-124.104444
36.223078,-120.336806
37.752899,-121.350575
37.404832,-122.068797
43.355890,-122.248748
35.270000,-118.870000
38.042497,-122.786541
39.769836,-121.824279
38.678152,-121.760202
40.441823,-111.833115
40.622220,-111.922780
38.090000,-120.300000
44.402110,-122.723267
39.761504,-121.618692
33.128774,-117.197169
33.230683,-117.018401
40.820000,-124.184722
41.295000,-110.522160
32.960090,-117.089893
34.088291,-117.525792
35.215833,-120.847545
37.322447,-121.796670
33.562897,-117.673461
37.340000,-122.030000
33.887668,-116.573691
41.044440,-111.689120
37.863406,-122.498369
44.000830,-112.169720
35.590000,-119.440000
38.937453,-122.609149
35.978056,-120.116999
37.720595,-122.476080
41.778420,-111.045500
32.714198,-117.169655
41.764560,-111.855250
34.041253,-117.320836
40.085947,-109.290757
39.319203,-120.378897
33.998314,-117.679032
36.862648,-121.405925
37.966073,-122.278419
45.962554,-122.335000
42.836670,-105.778610
37.142444,-113.563470
46.071480,-118.305129
38.031072,-121.869159
36.779627,-120.730067
41.728800,-122.631550
37.066369,-120.835421
43.375533,-111.847716
39.214315,-120.809293
38.776810,-122.742843
38.190000,-122.470000
38.030638,-121.897086
44.664630,-123.060153
